"","player_id","Name","DoB","Position","Club","Division","Nationality","EU National","Contract Start","Contract End","Transfer Value","Pref. Foot","Left Foot","Right Foot","Height","Weight","All-time Apps","All-time Gls","Current Ability","Potential Ability","Corners","Crossing","Dribbling","Finishing","First Touch","Free Kicks","Heading","Long Shots","Long Throws","Marking","Passing","Penalties","Tackling","Technique","Aggression","Anticipation","Bravery","Composure","Concentration","Decisions","Determination","Flair","Leadership","Off the Ball","Positioning","Teamwork","Vision","Work Rate","Acceleration","Agility","Balance","Jumping Reach","Natural Fitness","Pace","Stamina","Strength","Versatility","Temperament","Sportsmanship","Professionalism","Pressure","Loyalty","Injury Proneness","Important Matches","Dirtiness","Controversy","Consistency","Ambition","Adaptability","Throwing","Rushing out Tendency","Reflexes","Punching Tendency","One on Ones","Kicking","Handling","Eccentricity","Communication","Command of Area","Aerial Reach"
"1",7458500,"Lionel Messi","6/24/1987 (35 years old)","AM (RC), ST (C)","Paris SG","Ligue 1 Uber Eats","ARG","Yes","8/10/2021","6/30/2024","$24M - $37M","Left","Very Strong","Fairly Strong","5'7""","147 lbs","610","507",185,200,15,15,20,17,19,18,10,16,4,4,19,17,7,20,7,16,10,16,13,18,20,20,14,14,5,14,20,9,16,15,18,6,14,15,13,9,12,14,15,17,19,17,6,18,9,5,16,18,17,2,3,1,2,1,3,3,3,3,3,3
"2",14157184,"Alexis Mac Allister","12/24/1998 (24 years old)","DM, M/AM (C)","Brighton","English Premier Division","ARG","No","10/22/2022","6/30/2025","$29M - $44M","Right","Weak","Very Strong","5'9""","156 lbs","176","27",158,165,14,14,13,14,16,16,10,15,9,7,16,16,14,16,15,15,14,16,15,16,14,14,11,14,14,15,16,15,13,12,12,9,14,13,14,12,14,10,15,16,14,12,6,17,8,3,14,12,9,3,4,2,1,1,3,1,2,2,1,1
"3",48037335,"Marcus Thuram","8/6/1997 (25 years old)","AM (L), ST (C)","Borussia M'gladbach","Bundesliga","FRA","Yes","6/14/2021","6/30/2027","$61M - $76M","Right","Fairly Strong","Very Strong","6'4""","198 lbs","212","47",155,160,4,10,16,14,15,6,14,14,4,5,12,13,7,16,13,14,12,13,10,12,13,16,8,15,7,13,13,12,16,14,16,15,12,17,13,16,11,8,7,13,11,10,9,14,12,15,12,16,15,1,3,3,3,1,3,2,1,2,1,1
"4",735216,"Cristiano Ronaldo","2/5/1985 (38 years old)","ST (C)","Al-Nassr (KSA)","Saudi Professional League","POR","Yes","12/31/2022","6/30/2025","Not for Sale","Right","Fairly Strong","Very Strong","6'2""","185 lbs","669","512",160,196,10,11,13,18,15,11,18,15,5,3,13,20,5,17,6,17,13,15,12,13,20,17,18,19,3,5,12,7,12,11,13,16,20,13,13,15,9,7,5,20,17,5,7,17,12,16,14,20,17,1,2,2,2,2,1,1,2,1,4,3
"5",55041632,"Bernardo Silva","8/10/1994 (28 years old)","M/AM (RC)","Man City","English Premier Division","POR","Yes","6/14/2021","6/30/2025","Not for Sale","Left","Very Strong","Weak","5'8""","141 lbs","340","64",178,180,14,15,17,15,17,13,10,13,2,12,17,13,8,18,13,16,15,16,15,15,16,17,12,17,13,17,17,20,15,19,16,7,17,14,17,9,20,8,12,17,13,11,6,16,10,14,16,17,15,3,2,2,1,2,3,2,2,1,3,2
"6",83261910,"Nuno Mendes","6/19/2002 (20 years old)","D/WB (L)","Paris SG","Ligue 1 Uber Eats","POR","Yes","6/30/2022","6/30/2026","$131M - $198M","Left","Very Strong","Fairly Strong","5'9""","154 lbs","90","2",152,177,13,14,14,10,14,7,9,10,11,11,13,9,14,14,13,14,12,13,13,13,14,12,8,11,11,12,13,13,17,14,13,10,16,17,14,13,14,15,14,14,17,15,11,10,6,6,13,15,16,3,3,3,1,3,2,2,3,2,1,4
"7",55070299,"Rúben Dias","5/14/1997 (26 years old)","D (C)","Man City","English Premier Division","POR","Yes","8/30/2021","6/30/2027","$335M - $368M","Right","Fairly Strong","Very Strong","6'1""","182 lbs","233","12",174,177,4,11,12,6,13,5,15,4,5,17,14,8,18,13,16,17,18,15,16,15,18,8,17,8,17,16,13,17,13,13,12,16,18,13,18,16,8,16,14,18,16,16,4,16,13,8,18,18,18,1,1,1,1,3,2,3,1,4,1,4
"8",83169822,"João Félix","11/10/1999 (23 years old)","AM (RLC), ST (C)","Chelsea","English Premier Division","POR","Yes","6/14/2021","6/30/2026","$42M - $63M","Right","Fairly Strong","Very Strong","5'10""","163 lbs","167","51",153,177,11,12,17,13,17,12,12,13,4,4,16,14,7,18,14,15,11,15,13,15,13,19,7,18,6,9,16,9,13,16,13,9,14,12,12,9,8,10,10,15,15,8,9,15,14,13,11,18,14,2,3,3,1,3,2,2,2,3,3,3
"9",83111483,"Rafael Leão","6/10/1999 (24 years old)","AM (L), ST (C)","AC Milan","Italian Serie A","POR","Yes","6/2/2023","6/30/2028","$149M - $187M","Right","Strong","Very Strong","6'2""","178 lbs","169","54",167,176,8,14,17,14,16,7,11,13,7,5,14,12,6,15,9,15,8,13,11,13,14,18,9,15,6,13,14,11,17,18,16,14,16,17,12,14,12,12,9,14,13,11,8,14,7,6,13,16,12,2,1,3,3,3,1,1,3,1,2,2
"10",43124203,"Bruno Fernandes","9/8/1994 (28 years old)","M (C), AM (RC)","Man UFC","English Premier Division","POR","Yes","4/1/2022","6/30/2026","$246M - $270M","Right","Fairly Strong","Very Strong","5'10""","152 lbs","344","103",172,174,16,16,11,15,17,16,10,16,4,3,18,19,8,17,18,17,17,14,14,13,17,17,17,17,8,15,18,17,13,15,13,9,20,13,19,11,15,7,6,17,14,13,1,13,14,5,14,15,18,3,1,3,1,2,2,2,1,1,1,1
"11",83169226,"Diogo Costa","9/19/1999 (23 years old)","GK","FC Porto","Portuguese Premier League","POR","Yes","11/3/2022","6/30/2027","$47M - $72M","Right","Fairly Strong","Very Strong","6'1""","176 lbs","121","-",155,174,3,3,1,2,11,4,5,3,2,3,14,6,3,13,14,13,14,16,14,14,14,11,10,2,14,14,14,13,11,15,12,13,14,11,11,13,14,16,15,17,18,14,9,14,6,6,15,13,9,12,13,16,8,16,17,14,7,14,14,13
"12",83174762,"Vitinha","2/13/2000 (23 years old)","DM, M (C)","Paris SG","Ligue 1 Uber Eats","POR","Yes","7/1/2022","6/30/2027","$51M - $78M","Right","Reasonable","Very Strong","5'8""","145 lbs","107","12",154,168,12,11,15,9,15,10,6,13,9,13,16,10,12,16,12,15,15,15,13,15,14,13,12,15,14,16,16,15,13,16,14,6,14,13,15,11,13,14,14,16,16,16,5,13,5,5,15,14,15,2,2,2,2,3,1,3,2,3,2,3
"13",2000238881,"Thomi Montefiori","2/6/2003 (20 years old)","AM (C)","JUV","Brazilian National Second Division","ARG","No","8/11/2022","12/31/2023","$0","Right","Reasonable","Very Strong","5'9""","154 lbs","7","-",82,165,3,6,8,13,13,3,1,8,5,6,10,4,8,13,9,8,5,7,7,12,16,13,9,8,8,7,12,8,13,13,7,4,13,13,11,5,11,20,12,13,13,9,10,9,5,4,10,9,10,2,3,2,3,3,1,3,1,3,4,1
"14",2000131486,"João Veloso","6/26/2005 (17 years old)","M/AM (C)","Benfica","Portuguese Premier League","POR","Yes","6/18/2022","6/30/2025","$8.8M - $13.5M","Right","Weak","Very Strong","6'1""","160 lbs","-","-",102,168,8,9,11,10,12,8,6,12,3,8,13,8,9,13,10,11,10,11,10,12,15,15,8,12,9,11,14,11,12,12,12,7,14,13,11,11,14,18,17,18,16,14,5,12,7,8,14,15,13,2,2,2,2,4,1,1,2,3,3,3
"15",55041623,"João Cancelo","5/27/1994 (29 years old)","D/WB (RL)","FC Bayern","Bundesliga","POR","Yes","2/1/2022","6/30/2027","$53M - $67M","Right","Fairly Strong","Very Strong","6'0""","163 lbs","290","12",158,167,13,16,16,9,16,13,10,13,14,9,16,11,13,17,15,13,12,14,10,13,13,17,7,14,11,12,16,12,15,15,14,12,14,15,14,12,17,7,9,7,10,6,9,13,13,15,12,19,16,3,1,2,2,1,3,1,1,3,2,2
"16",55083779,"Diogo Jota","12/4/1996 (26 years old)","AM (RL), ST (C)","Liverpool","English Premier Division","POR","Yes","8/2/2022","6/30/2027","$84M - $105M","Right","Fairly Strong","Very Strong","5'10""","160 lbs","255","86",155,166,7,12,15,15,14,9,15,11,5,8,13,11,9,15,13,14,12,14,13,14,17,15,5,15,9,14,13,14,16,15,13,11,14,15,13,11,12,12,11,15,15,12,9,14,12,8,12,16,14,4,2,3,1,2,3,1,1,2,4,1
"17",83209468,"Gonçalo Ramos","6/20/2001 (21 years old)","ST (C)","Benfica","Portuguese Premier League","POR","Yes","10/7/2020","6/30/2025","$53M - $80M","Right","Fairly Strong","Very Strong","6'1""","176 lbs","100","45",150,166,10,10,13,15,13,8,15,11,8,7,13,11,8,14,13,14,15,13,15,15,16,13,10,16,8,16,13,15,13,14,14,13,15,14,15,12,13,16,15,16,14,16,5,13,7,5,14,13,10,1,1,1,1,4,2,1,3,1,2,1
"18",2000104450,"Rodrigo Ribeiro","4/28/2005 (18 years old)","AM (R), ST (C)","Sporting CP","Portuguese Premier League","POR","Yes","12/27/2022","6/30/2025","$11.5M - $17M","Right","Reasonable","Very Strong","6'1""","174 lbs","38","10",96,166,5,8,13,11,12,6,9,7,4,4,11,9,4,14,12,11,9,11,10,9,13,14,5,12,6,9,10,11,13,13,9,11,14,13,12,10,10,16,10,12,14,12,10,13,7,5,11,12,11,4,2,2,2,2,3,2,1,2,1,1
"19",55062009,"Ricardo Pereira","10/6/1993 (29 years old)","D (RL), WB (R)","Leicester","Sky Bet Championship","POR","Yes","2/18/2022","6/30/2026","$24M - $29M","Right","Reasonable","Very Strong","5'9""","154 lbs","244","14",137,165,9,13,13,11,12,8,9,12,7,12,13,12,15,15,11,14,13,13,12,14,14,13,12,14,14,15,14,16,13,12,13,9,10,13,13,10,16,12,15,15,14,13,14,12,9,6,14,15,12,3,4,2,1,1,3,3,1,1,1,2
